FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;STEREOT_GENDROLEPARTNER;Stereotipi sui ruoli di genere, comportamenti nella coppia;DEGREE_AGREEMENT;Grado di accordo;TIME_PERIOD;Osservazione;OBS_STATUS
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;8.7;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRODIS;"'Per niente d""'accordo'";2018;87.6;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";NOANSW;Non risponde;2018;0.4;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";TOT;Totale;2018;100;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRAGR;"'Molto d""'accordo'";2018;9.1;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMAGR;"'Abbastanza d""'accordo'";2018;18.2;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMDISAG;"'Poco d""'accordo'";2018;18;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRODIS;"'Per niente d""'accordo'";2018;54;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;NOANSW;Non risponde;2018;0.7;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;TOT;Totale;2018;100;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRAGR;"'Molto d""'accordo'";2018;7.8;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMAGR;"'Abbastanza d""'accordo'";2018;20.8;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMDISAG;"'Poco d""'accordo'";2018;18.4;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRODIS;"'Per niente d""'accordo'";2018;51.8;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;NOANSW;Non risponde;2018;1.2;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;TOT;Totale;2018;100;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRAGR;"'Molto d""'accordo'";2018;2.9;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMAGR;"'Abbastanza d""'accordo'";2018;8.2;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMDISAG;"'Poco d""'accordo'";2018;12.3;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRODIS;"'Per niente d""'accordo'";2018;75.6;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;NOANSW;Non risponde;2018;1;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;TOT;Totale;2018;100;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRAGR;"'Molto d""'accordo'";2018;6.7;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;16.7;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;18.5;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRODIS;"'Per niente d""'accordo'";2018;57.4;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";NOANSW;Non risponde;2018;0.7;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";TOT;Totale;2018;100;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRAGR;"'Molto d""'accordo'";2018;1.2;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;3.7;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;11;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRODIS;"'Per niente d""'accordo'";2018;83.6;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";NOANSW;Non risponde;2018;0.5;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";TOT;Totale;2018;100;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRAGR;"'Molto d""'accordo'";2018;9.2;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMAGR;"'Abbastanza d""'accordo'";2018;19.8;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMDISAG;"'Poco d""'accordo'";2018;18.2;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRODIS;"'Per niente d""'accordo'";2018;52.1;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;NOANSW;Non risponde;2018;0.7;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;TOT;Totale;2018;100;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRAGR;"'Molto d""'accordo'";2018;7.8;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMAGR;"'Abbastanza d""'accordo'";2018;19;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMDISAG;"'Poco d""'accordo'";2018;18.6;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRODIS;"'Per niente d""'accordo'";2018;53.4;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;NOANSW;Non risponde;2018;1.2;
A;Annuale;ITD;Nord-est;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);T;Totale;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;TOT;Totale;2018;100;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRAGR;"'Molto d""'accordo'";2018;2.5;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMAGR;"'Abbastanza d""'accordo'";2018;12.8;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMDISAG;"'Poco d""'accordo'";2018;11.2;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRODIS;"'Per niente d""'accordo'";2018;70.7;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;NOANSW;Non risponde;2018;2.7;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;TOT;Totale;2018;100;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRAGR;"'Molto d""'accordo'";2018;9.3;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;18.2;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;15.3;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRODIS;"'Per niente d""'accordo'";2018;55.2;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";NOANSW;Non risponde;2018;1.9;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";TOT;Totale;2018;100;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRAGR;"'Molto d""'accordo'";2018;2.3;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;3.7;
A;Annuale;ITDA;Trentino Alto Adige / Südtirol;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;16.5;
